虎牙直播,#genre#
张大仙,https://live.52sf.ga/huya/688
王者荣耀赛事,https://live.52sf.ga/huya/kpl
英雄联盟赛事,https://live.52sf.ga/huya/lpl
暴雪频道,https://live.52sf.ga/huya/blizzardgame1
ESLCSGO,https://live.52sf.ga/huya/eslcsgo

斗鱼直播,#genre#
罗翔法考,https://live.52sf.ga/douyu/8805#https://liveb.52sf.ga/douyu/8805


广东,#genre#
 广东珠江,http://116.199.5.52:8114/hls/Fsv_chan_hls_se_idx=079&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=0&Pcontent_id=8114.m3u8
广东珠江,http://39.135.32.24:6610/000000001000/1000000004000011655/1.m3u8?xtkg?zguangd
广东,http://39.135.32.24:6610/000000001000/1000000001000028357/1.m3u8?xtkg?zguangd
南方卫视,http://39.135.32.24:6610/000000001000/1000000002000011619/1.m3u8?xtkg?zguangd
点掌财经,http://cclive2.aniu.tv/live/anzb.m3u8?zguangd
广东文化,https://glive.grtn.cn/live/wenhua_test0203.m3u8?auth_key=1617289309-0-0-7b2730980c8860963374597c20ad3935?zguangd
广东文化,https://glive.grtn.cn/live/wenhua_test0203.m3u8?auth_key=1612881417-0-0-bc7ddba066481bc805fc1e800654e721?zguangd
生活HD,http://hls-ott-zhibo.wasu.tv/live/452/index.m3u8?zguangd
广州法制,http://ye23.win/iptv/gztv.php?id=fazhi?zguangd
广州竞赛,http://ye23.win/iptv/gztv.php?id=jingsai?zguangd
南国都市,http://ye23.win/iptv/gztv.php?id=shenghuo?zguangd
深圳东部,https://lglivepull.sznews.com/live/2646.m3u8?zguangd
汕头综合,http://dslive.grtn.cn/stzh/sd/live.m3u8?zguangd 
汕头综合,http://dslive.grtn.cn/stzh/sd/live.m3u8?_upt=61db0df01642739502?zguangd
揭阳综合,http://dslive.grtn.cn/jyzh/sd/live.m3u8?zguangd
珠海综合,http://dslive.grtn.cn/zhzh/sd/live.m3u8?zguangd
蛇口,http://218.17.99.211:82/hls/d4encs75.m3u8?zguangd
蛇口,http://218.17.99.211:5080/hls/ttsw6ccn.m3u8?zguangd
韶关综合,https://www.sgmsw.cn/videos/tv/201805/1308/SB05RIYZOU8JR418AUQOF62CAJQ08D0E/hls/live.m3u8?zguangd
韶关新闻,http://dslive.grtn.cn/sgxwzhHD/sd/live.m3u8?zguangd
韶关公共,https://www.sgmsw.cn/videos/tv/201805/1308/9P424TC5M000AFO13CXK6GN6BOA889D2/hls/live.m3u8?zguangd
汕尾综合,http://dslive.grtn.cn/swzh/sd/live.m3u8?zguangd
清新综合,http://hls.wiseqx.com/live/qxzh.m3u8?zguangd
平远综合,https://p2.weizan.cn/1033266991/615876688276112015/live.m3u8?zguangd
惠州新闻综合,http://dslive.grtn.cn/hzzh/sd/live.m3u8?zguangd
阳江1,https://live.yjtvw.com:8081/live/smil:yjtv1.smil/chunklist_w1166501356_b928000.m3u8?zguangd
阳江1,https://live.yjtvw.com:8081/live/smil:yjtv1.smil/chunklist_b3628000.m3u8?zguangd
阳江2,https://live.yjtvw.com:8081/live/smil:yjtv2.smil/chunklist_w551261166_b928000.m3u8?zguangd
阳江2,https://live.yjtvw.com:8081/live/smil:yjtv2.smil/chunklist_b3628000.m3u8?zguangd
肇庆综合,http://dslive.grtn.cn/zqzh/sd/live.m3u8?_upt=0ca3e6411630330482?zguangd
丰顺综合,https://p2.weizan.cn/1033266991/776920781637802678/live.m3u8?zguangd
江门综合,http://dslive.grtn.cn/jmzh/sd/live.m3u8?zguangd
电白综合,http://gddb.chinashadt.com:1935/live/video1.stream_360p/playlist.m3u8?zguangd
电白视窗,http://gddb.chinashadt.com:1935/live/video2.stream_360p/playlist.m3u8?zguangd
五华综合,http://p2.weizan.cn/2100036413/734648609627739039/live.m3u8?zguangd
阳江综合,https://live.yjtvw.com:8081/live/smil:yjtv1.smil/chunklist_b1152000.m3u8?zguangd
阳江公共,https://live.yjtvw.com:8081/live/smil:yjtv2.smil/chunklist_b1152000.m3u8?zguangd
云浮综合,https://pili-live-hdl-ysx.tianma3600.com/gdyf/gdyfzh.m3u8?zguangd
云浮综合,http://dslive.grtn.cn/yfzh/sd/live.m3u8?zguangd
云浮公共,https://pili-live-hdl-ysx.tianma3600.com/gdyf/gdyfgg.m3u8?zguangd
1号[1920*1080],http://120.237.252.67:8800/hls/1/index.m3u8
2号[1920*1080],http://120.237.252.67:8800/hls/2/index.m3u8
5号[1920*1080],http://120.237.252.67:8800/hls/5/index.m3u8
7号[1920*1080],http://120.237.252.67:8800/hls/7/index.m3u8













河南,#genre#
河南都市,http://123.6.9.146/live/jz-henandushi/live.m3u8?zhend
河南民生,http://123.6.9.146/live/jz-henanminsheng/live.m3u8?zhend
中牟综合频道,http://rtsp.zmgdcm.cn:9850/playServer/acquirePlayService?type=live&resourceId=1000000000000001&protocol=hls0&drmType=none&deviceGroup=TV(STB)&op=sovp&playType=catchup&redirect.m3u8?zhend
宝丰综合频道,http://tvpull.dxhmt.cn:9081/tv/10421-1.m3u8?zhend
郏县综合频道,http://tvpull.dxhmt.cn:9081/tv/10425-1.m3u8?zhend
郑州新闻综合,http://live.zztv.tv/gbds/playlist.m3u8?zhend
郑州商都频道,http://live.zztv.tv/zztv2/playlist.m3u8?zhend
郑州文体旅游,http://live.zztv.tv/wtzzly/playlist.m3u8?zhend
郑州影戏曲,http://live.zztv.tv/zztv4/playlist.m3u8?zhend
郑州妇女儿童,http://live.zztv.tv/zztv5/playlist.m3u8?zhend
郑州都市生活,http://live.zztv.tv/zztv6/playlist.m3u8?zhend
洛阳综合频道,http://wshls.live.migucloud.com/live/JARXUQWI_C0/playlist.m3u8?zhend
洛阳科教频道,http://wshls.live.migucloud.com/live/3WH8OBTJ_C0/playlist.m3u8?zhend
洛阳文旅频道,http://wshls.live.migucloud.com/live/G8B61RHW_C0/playlist.m3u8?zhend
焦作综合频道,http://zhpull.dxhmt.cn/jiaozuo/b75a92c9503e47cf9e89f7ff247b65f2/playlist.m3u8?zhend
焦作公共频道,http://zhpull.dxhmt.cn/jiaozuo/29b65b69130c4ef1a3283cc7b913da05/playlist.m3u8?zhend
焦作教育频道,http://zhpull.dxhmt.cn/jiaozuo/9c10435ad24c409baee219ec289e17d0/playlist.m3u8?zhend
睛彩焦作频道,http://zhpull.dxhmt.cn/jiaozuo/c5eb91b47f0e42318f34fc0247c8acaa/playlist.m3u8?zhend
濮阳公共频道,http://p4.weizan.cn/596962/573388626766862967/live.m3u8?zhend
许昌综合频道,http://live.s23.net:2015/live/smil:xczh.smil/playlist.m3u8?DVR?zhend
